E_PV_batt;E_PV_curt;E_PV_grid;E_PV_load;E_char;E_cons;E_dis;E_grid_batt;E_grid_load;E_loss_Batt;E_loss_conv;E_loss_inv;E_loss_inv_PV;E_loss_inv_batt;E_loss_inv_grid;E_demand;E_PV;App_comb;SOC_mean;SOC_max;SOC_min;DoD_mean;DoD_max;DoD_min;last_cap;cap_fading;last_SOH;P_max_year_batt;P_max_year_nbatt;Capacity;Tech;PV_nom;name;results_PVbatt;results_PV;results;EFC_nolifetime;LS;TSC;DSC;ISC;CU;PS_year;BS;cycle_to_total;cases
590.9227137852178;17.50737029937227;503.85582838588596;606.4202322589365;681.9451349532566;1747.904268462054;626.0256338870898;91.02242116803825;1652.091193548329;55.91950106616698;35.192687131384886;94.52751757924207;58.435582139201294;31.30128169435457;4.790653745686234;2853.2357779999984;1812.334413999999;7.0;25.21138330835861;99.98904109589041;-2.2204460492503137e-14;97.42073356475095;176.8608945793195;7.19039364398445;6.947149535397449;0.7550066371793007;0.9750266332092017;6.246235;30.773804;7.0;NMC;5.0;164;303.7970254162708;330.1545393359781;620.6204799623781;89.4322334124414;38.73957834332011;66.0663361460704;33.46072488468107;32.60561126138931;0.9660121313224854;-79.70275302981719;21.940900878717713;0.73;True
596.0820927577976;18.358225804193324;525.9701373279654;578.612049832534;695.9312666666821;1772.806464095754;638.8649028000139;99.84917390888397;1667.7020705074535;57.06636386666794;35.17600369011389;95.33436940681044;58.13590458739488;31.943245140000798;5.255219679414954;2853.2357779999984;1812.334413999999;7.0;24.11265834564741;99.98904109589041;-2.5376526277146433e-14;99.41875238095459;176.93107228331687;7.19039364398445;6.946252056804484;0.7678277599359462;0.9745992624506474;6.246235;7.693451;7.0;NMC;5.0;164;227.8837434688956;253.79423997051452;456.74214172519453;91.26641468571627;37.86680800216187;64.81663281985949;31.926340159015176;32.89029266084432;1.0129601723820345;-18.811012119268703;22.390890641636073;0.74;True
555.0940463750758;18.505158077791034;508.65739793169257;634.0582961746577;563.448437196434;1737.5335461413433;517.2456656165004;8.354390821358274;1728.7394514072012;46.20277185010755;35.87658460860291;86.44492010744851;60.14293206005719;25.862283267318823;0.43970478007148794;2854.1811289999996;1812.334414;7.0;41.2118948672692;100.0;0.0;80.49263388520488;152.4095808099775;0.0;6.949991323424664;0.714409665361948;0.9764549709143844;5.033450999879278;7.693451;7.0;NMC;5.0;164;223.18835732018897;253.94247100731454;456.89037276199457;73.89223794521435;39.123220720399374;65.61439949292568;34.985722903932995;30.628676588992686;1.0210675212500286;-34.574861139958145;18.122384047775004;4.266666666666667;True
555.0940463750758;18.505158077791034;508.65739793169257;634.0582961746577;563.448437196434;1737.5335461413433;517.2456656165004;8.354390821358274;1728.7394514072012;46.20277185010755;35.87658460860291;86.44492010744851;60.14293206005719;25.862283267318823;0.43970478007148794;2854.1811289999996;1812.334414;7.0;41.2118948672692;100.0;0.0;80.49263388520488;152.4095808099775;0.0;6.949991323424664;0.714409665361948;0.9764549709143844;5.033450999879278;7.693451;7.0;NMC;5.0;164;223.18835732018897;253.94247100731454;456.89037276199457;73.89223794521435;39.123220720399374;65.61439949292568;34.985722903932995;30.628676588992686;1.0210675212500286;-34.574861139958145;18.122384047775004;4.266666666666667;True
555.0940463750758;18.505158077791034;508.65739793169257;634.0582961746577;563.448437196434;1737.5335461413433;517.2456656165004;8.354390821358274;1728.7394514072012;46.20277185010755;35.87658460860291;86.44492010744851;60.14293206005719;25.862283267318823;0.43970478007148794;2854.1811289999996;1812.334414;7.0;41.2118948672692;100.0;0.0;80.49263388520488;152.4095808099775;0.0;6.949991323424664;0.714409665361948;0.9764549709143844;5.033450999879278;7.693451;7.0;NMC;5.0;164;223.18835732018897;253.94247100731454;456.89037276199457;73.89223794521435;39.123220720399374;65.61439949292568;34.985722903932995;30.628676588992686;1.0210675212500286;-34.574861139958145;18.122384047775004;4.266666666666667;True
555.0940463750758;18.505158077791034;508.65739793169257;634.0582961746577;563.448437196434;1737.5335461413433;517.2456656165004;8.354390821358274;1728.7394514072012;46.20277185010755;35.87658460860291;86.44492010744851;60.14293206005719;25.862283267318823;0.43970478007148794;2854.1811289999996;1812.334414;7.0;41.2118948672692;100.0;0.0;80.49263388520488;152.4095808099775;0.0;6.949991323424664;0.714409665361948;0.9764549709143844;5.033450999879278;7.693451;7.0;NMC;5.0;164;223.18835732018897;253.94247100731454;456.89037276199457;73.89223794521435;39.123220720399374;65.61439949292568;34.985722903932995;30.628676588992686;1.0210675212500286;-34.574861139958145;18.122384047775004;4.266666666666667;True
555.0940463750758;18.505158077791034;508.65739793169257;634.0582961746577;563.448437196434;1737.5335461413433;517.2456656165004;8.354390821358274;1728.7394514072012;46.20277185010755;35.87658460860291;86.44492010744851;60.14293206005719;25.862283267318823;0.43970478007148794;2854.1811289999996;1812.334414;7.0;41.2118948672692;100.0;0.0;80.49263388520488;152.4095808099775;0.0;6.949991323424664;0.714409665361948;0.9764549709143844;5.033450999879278;7.693451;7.0;NMC;5.0;164;223.18835732018897;253.94247100731454;456.89037276199457;73.89223794521435;39.123220720399374;65.61439949292568;34.985722903932995;30.628676588992686;1.0210675212500286;-34.574861139958145;18.122384047775004;4.266666666666667;True
598.8050281165495;18.395168302984228;519.618439340531;581.6742216926868;699.8285373984434;1768.5269757072365;642.4425977211757;101.02350928189392;1662.186439706621;57.385940133105166;35.878783720924446;95.40192911569638;57.96277245281734;32.12212986285674;5.317026800024671;2854.1811289999996;1812.334414;7.0;25.021821863268123;99.98904109589041;0.0;99.97550534263478;176.92765029196838;7.191061641030781;6.945740618517866;0.7751340211733404;0.9744791136718387;5.033450999879278;7.693451;7.0;NMC;5.0;164;227.46748312441224;253.94247100731454;456.89037276199457;91.77751396016797;38.03732504086511;65.1358403112703;32.09530300806212;33.04053730320818;1.0149985654349678;-34.574861139958145;22.508823676031522;0.74;True
555.0940463750758;18.505158077791034;508.65739793169257;634.0582961746577;563.448437196434;1737.5335461413433;517.2456656165004;8.354390821358274;1728.7394514072012;46.20277185010755;35.87658460860291;86.44492010744851;60.14293206005719;25.862283267318823;0.43970478007148794;2854.1811289999996;1812.334414;7.0;41.2118948672692;100.0;0.0;80.49263388520488;152.4095808099775;0.0;6.949991323424664;0.714409665361948;0.9764549709143844;5.033450999879278;7.693451;7.0;NMC;5.0;164;223.18835732018897;253.94247100731454;456.89037276199457;73.89223794521435;39.123220720399374;65.61439949292568;34.985722903932995;30.628676588992686;1.0210675212500286;-34.574861139958145;18.122384047775004;4.266666666666667;True
555.0940463750758;18.505158077791034;508.65739793169257;634.0582961746577;563.448437196434;1737.5335461413433;517.2456656165004;8.354390821358274;1728.7394514072012;46.20277185010755;35.87658460860291;86.44492010744851;60.14293206005719;25.862283267318823;0.43970478007148794;2854.1811289999996;1812.334414;7.0;41.2118948672692;100.0;0.0;80.49263388520488;152.4095808099775;0.0;6.949991323424664;0.714409665361948;0.9764549709143844;5.033450999879278;7.693451;7.0;NMC;5.0;164;223.18835732018897;253.94247100731454;456.89037276199457;73.89223794521435;39.123220720399374;65.61439949292568;34.985722903932995;30.628676588992686;1.0210675212500286;-34.574861139958145;18.122384047775004;4.266666666666667;True
