,164,E_PV,Price_flat,Price_DT,Export_price,Price_flat_mod,Price_DT_mod
0,0.376433,0.0,0.073,0.055999999999999994,0.022330000000000003,0.0511,0.0392
1,0.342482,0.0,0.073,0.055999999999999994,0.022330000000000003,0.0511,0.0392
2,0.353568,0.0,0.073,0.055999999999999994,0.022330000000000003,0.0511,0.0392
3,0.31945,0.0,0.073,0.055999999999999994,0.022330000000000003,0.0511,0.0392
4,0.360468,0.0,0.073,0.055999999999999994,0.02196,0.0511,0.0392
5,0.34681799999999996,0.0,0.073,0.055999999999999994,0.02196,0.0511,0.0392
6,0.32256799999999997,0.0,0.073,0.055999999999999994,0.02196,0.0511,0.0392
7,0.317818,0.0,0.073,0.055999999999999994,0.02196,0.0511,0.0392
8,0.315433,0.0,0.073,0.055999999999999994,0.0218,0.0511,0.0392
9,0.35831799999999997,0.0,0.073,0.055999999999999994,0.0218,0.0511,0.0392
10,0.348468,0.0,0.073,0.055999999999999994,0.0218,0.0511,0.0392
11,0.333368,0.0,0.073,0.055999999999999994,0.0218,0.0511,0.0392
12,0.292,0.0,0.073,0.055999999999999994,0.02189,0.0511,0.0392
13,0.254318,0.0,0.073,0.055999999999999994,0.02189,0.0511,0.0392
14,0.27055,0.0,0.073,0.055999999999999994,0.02189,0.0511,0.0392
15,0.23758200000000002,0.0,0.073,0.055999999999999994,0.02189,0.0511,0.0392
16,0.23151799999999997,0.0,0.073,0.055999999999999994,0.02219,0.0511,0.0392
17,0.203933,0.0,0.073,0.055999999999999994,0.02219,0.0511,0.0392
18,0.24301799999999998,0.0,0.073,0.055999999999999994,0.02219,0.0511,0.0392
19,0.18951800000000002,0.0,0.073,0.055999999999999994,0.02219,0.0511,0.0392
20,0.200983,0.0,0.073,0.055999999999999994,0.02547,0.0511,0.0392
21,0.208382,0.0,0.073,0.055999999999999994,0.02547,0.0511,0.0392
22,0.24265,0.0,0.073,0.055999999999999994,0.02547,0.0511,0.0392
23,0.25565,0.0,0.073,0.055999999999999994,0.02547,0.0511,0.0392
24,0.18825,0.0,0.073,0.055999999999999994,0.027410000000000004,0.0511,0.0392
25,0.21861799999999998,0.0,0.073,0.055999999999999994,0.027410000000000004,0.0511,0.0392
26,0.23695,0.0,0.073,0.055999999999999994,0.027410000000000004,0.0511,0.0392
27,0.23221799999999998,0.0,0.073,0.055999999999999994,0.027410000000000004,0.0511,0.0392
28,0.74065,0.0,0.073,0.055999999999999994,0.027360000000000002,0.0511,0.0392
29,0.581883,0.0,0.073,0.055999999999999994,0.027360000000000002,0.0511,0.0392
30,0.398183,0.0,0.073,0.055999999999999994,0.027360000000000002,0.0511,0.0392
31,0.36835,0.0,0.073,0.055999999999999994,0.027360000000000002,0.0511,0.0392
32,0.37291799999999997,0.001292,0.073,0.055999999999999994,0.02816,0.0511,0.0392
33,0.2967,0.001285,0.073,0.055999999999999994,0.02816,0.0511,0.0392
34,0.347582,0.013663,0.073,0.055999999999999994,0.02816,0.0511,0.0392
35,0.278482,0.013587,0.073,0.055999999999999994,0.02816,0.0511,0.0392
36,0.261783,0.013533000000000002,0.073,0.055999999999999994,0.03234,0.0511,0.0392
37,0.271882,0.013497,0.073,0.055999999999999994,0.03234,0.0511,0.0392
38,0.26771799999999996,0.048149000000000004,0.073,0.055999999999999994,0.03234,0.0511,0.0392
39,0.27,0.048035,0.073,0.055999999999999994,0.03234,0.0511,0.0392
40,0.283183,0.023286,0.073,0.055999999999999994,0.03021,0.0511,0.0392
